date,matchNum,league,home,away,time,SPF_win,SPF_draw,SPF_lose,RQSPF_hcp,RQSPF_win,RQSPF_draw,RQSPF_lose
2026-03-19,,挪威杯,KFUM奥斯陆,腓特烈斯塔,01:00,2.13,3.40,3.45,0,2.14,3.44,4.11
2026-03-19,周四002,欧联,弗赖堡,亨克,01:45,1.54,4.35,6.10,-1,2.63,3.29,3.15
2026-03-19,周四003,欧联,里昂,塞尔塔,01:45,2.26,3.20,3.50,0,2.07,3.20,4.83
2026-03-19,周四004,欧联,中日德兰,诺丁汉森林,01:45,2.90,3.40,2.49,0,2.64,4.29,2.56
2026-03-19,周四005,欧协联,AEK拉纳卡,水晶宫,01:45,6.90,4.00,1.52,1,3.13,3.54,2.50
2026-03-19,,欧协联,琴斯托霍瓦,佛罗伦萨,01:45,2.70,3.40,2.59,0,3.47,3.95,2.17
2026-03-19,,欧协联,雅典AEK,采列,01:45,1.27,6.10,9.90,-2,3.03,4.61,2.20
2026-03-19,周四006,欧协联,美因茨,奥洛穆茨,01:45,1.32,5.10,10.50,-1,1.90,3.78,4.71
2026-03-19,,罗甲,布加勒斯特迪纳摩,克拉约瓦大学,02:30,2.81,2.99,2.44,0,4.18,3.12,2.26
2026-03-19,,挪威杯,布莱尼,布兰,03:00,6.20,4.45,1.50,1,2.48,3.93,2.91
2026-03-19,周四010,欧联,贝蒂斯,帕纳辛纳科斯,04:00,1.43,4.80,7.30,-1,2.00,3.65,4.40
2026-03-19,周四008,欧联,波尔图,斯图加特,04:00,2.49,3.55,2.78,0,2.24,3.95,3.30
2026-03-19,周四007,欧联,罗马,博洛尼亚,04:00,1.74,3.65,5.20,-1,4.22,2.96,2.34
2026-03-19,周四009,欧联,阿斯顿维拉,里尔,04:00,1.73,3.75,5.10,-1,3.26,3.36,2.51
2026-03-19,,欧协联,布拉格斯巴达,阿尔克马尔,04:00,2.44,3.75,2.68,0,2.47,4.26,2.76
2026-03-19,,欧协联,巴列卡诺,萨姆松体育,04:00,1.55,3.85,6.80,-1,2.39,4.04,2.98
2026-03-19,,欧协联,斯特拉斯堡,里耶卡,04:00,1.38,5.00,7.70,-1,1.97,3.95,4.14
2026-03-19,,巴西甲,格雷米奥,维多利亚,06:00,1.83,3.45,4.05,-1,3.44,3.80,2.24
2026-03-19,,巴西甲,弗拉门戈,雷莫,07:00,1.14,7.50,14.50,-2,2.28,3.84,3.31
2026-03-19,,巴西甲,沙佩科恩斯,科林蒂安,08:30,3.05,3.10,2.33,0,4.29,3.25,2.17
2026-03-19,,美冠杯,老虎大学,辛辛那提FC,09:00,1.35,5.00,7.00,-1,2.15,4.60,3.13
2026-03-20,周五001,澳超,西悉尼流浪者,阿德莱德联,16:35,1.87,4.10,3.65,0,2.04,4.63,3.38
2026-03-20,,波兰甲,皮亚斯特,拉多米亚克,01:00,2.17,3.45,2.88,0,2.53,2.98,3.68
2026-03-20,,奥乙,阿德米拉,维也纳快速青年队,01:00,1.33,4.85,7.00,-2,3.74,4.04,2.05
2026-03-20,,奥乙,奥地利克拉根福,第一维也纳,01:00,3.30,3.30,2.03,0,3.63,4.51,1.98
2026-03-20,,奥乙,列弗宁,赫塔韦尔斯,01:00,1.98,3.40,3.35,-1,3.86,3.81,2.08
2026-03-20,,奥乙,圣珀尔滕,奥地利萨尔斯堡,01:00,1.28,5.10,8.20,-1,2.32,3.85,3.21
2026-03-21,周六001,澳超,布里斯班狮吼,惠灵顿凤凰,12:00,2.13,3.65,3.25,0,2.43,3.79,3.07
2026-03-21,,日职联,冈山绿雉,长崎成功丸,13:00,2.29,3.20,3.00,0,2.32,3.19,3.89
2026-03-21,周六002,韩K联,大田市民,全北现代,13:00,2.60,3.20,2.60,0,3.51,2.98,2.63
2026-03-21,,韩K2联,金海,水原三星,13:00,5.20,4.00,1.47,1,3.76,3.37,2.28
2026-03-21,,韩K2联,坡州前线,全南天龙,13:00,3.30,3.30,1.95,0,4.52,3.90,1.91
2026-03-21,,韩K2联,城南FC,忠南牙山,13:00,2.12,3.20,2.96,0,2.35,3.79,3.21
2026-03-21,周六003,日职联,福冈黄蜂,大阪钢巴,13:30,3.70,3.35,1.95,0,4.57,3.58,1.99
2026-03-21,周六004,澳超,墨尔本胜利,中央海岸水手,14:10,1.45,5.00,6.10,-1,2.73,4.01,2.59
2026-03-21,,韩K2联,天安城,首尔衣恋,15:30,3.20,3.20,2.01,0,4.82,3.96,1.84
2026-03-21,,韩K2联,忠北清州,安山小绿人,15:30,2.14,3.10,3.05,0,2.28,3.43,3.68
2026-03-21,周六005,女亚洲杯,澳大利亚女足,日本女足,17:00,5.70,4.50,1.38,-1,2.26,3.80,3.37
2026-03-22,,澳超,悉尼FC,纽卡斯尔喷气机,12:00,1.97,4.35,3.20,0,2.57,4.22,2.66
2026-03-22,,日职联,清水心跳,广岛三箭,12:00,3.65,3.45,1.94,1,2.24,3.15,4.22
2026-03-22,,日职联,东京绿茵,FC东京,13:00,3.85,3.15,2.00,0,5.35,2.88,2.14
2026-03-22,,日职联,京都不死鸟,名古屋鲸鱼,13:00,2.41,3.50,2.63,0,2.49,3.40,3.27
2026-03-22,周日001,韩K联,FC首尔,光州FC,13:00,1.42,4.30,6.90,-1,3.15,3.11,2.76
2026-03-22,,韩K联,蔚山HD,金泉尚武,13:00,2.23,3.35,2.98,0,1.83,4.05,4.80
2026-03-22,,韩K2联,釜山偶像,大邱FC,13:00,2.49,3.30,2.55,0,3.81,3.28,2.30
2026-03-22,,韩K2联,华城FC,龙仁FC,13:00,1.84,3.40,3.80,-1,3.15,3.58,2.47
2026-03-22,,日职联,川崎前锋,横滨水手,14:00,2.14,3.75,2.90,0,1.95,4.02,4.15
2026-03-22,周日002,日职联,大阪樱花,神户胜利船,14:00,2.56,3.40,2.56,0,3.32,3.71,2.32
2026-03-22,,日职联,鹿岛鹿角,千叶市原,14:00,1.56,3.95,5.30,-1,2.13,3.88,3.63
2026-03-22,周日003,日职联,浦和红钻,町田泽维亚,15:00,2.70,3.10,2.60,0,2.97,3.01,3.00
2026-03-22,,日职联,柏太阳神,水户蜀葵,15:00,1.58,3.80,5.40,-1,3.67,3.23,2.38
2026-03-22,,韩K联,浦项铁人,富川FC,15:30,2.23,3.10,3.20,0,2.14,3.52,3.97
2026-03-22,,韩K联,江原FC,济州SK FC,15:30,1.67,3.50,5.10,0,1.89,3.50,5.35
2026-03-22,,韩K联,安养FC,仁川联,15:30,2.69,3.05,2.62,0,2.33,3.87,3.18
2026-03-22,,韩K2联,庆南FC,金浦市民,15:30,4.15,3.35,1.78,0,5.30,3.61,1.86
2026-03-22,周日004,澳超,珀斯光荣,墨尔本城,16:00,3.70,3.75,1.95,0,4.16,3.88,1.99
2026-03-22,,奥乙,卡芬堡,阿姆斯特顿,17:30,3.95,3.80,1.71,1,2.01,4.59,3.48
2026-03-23,,罗甲,斯洛博齐亚,加拉茨钢铁,02:30,3.05,3.10,2.21,0,3.78,3.00,2.47
2026-03-23,,西乙,卡斯迪隆,莱昂文体,03:30,1.43,4.50,6.20,-1,2.16,3.78,3.65
2026-03-23,,阿甲,拉普拉塔大学生,科尔多瓦中央,06:00,1.48,3.80,7.00,-1,3.29,3.00,2.74
2026-03-23,,阿甲,飓风队,巴拉卡斯中央,08:15,1.91,2.99,4.50,0,2.42,3.17,3.65
2026-03-24,周二001,荷乙,埃门,坎布尔,03:00,2.51,3.70,2.30,0,3.13,3.96,2.33
2026-03-24,周二002,英甲,唐卡斯特,维尔港,03:45,1.73,3.55,4.00,-1,4.03,3.10,2.32
2026-03-24,,苏冠,拉茨流浪者,帕尔蒂克,03:45,2.65,3.20,2.34,0,3.00,3.17,2.84
2026-03-24,,英乙,奥尔德姆,诺茨郡,03:45,2.53,3.15,2.47,0,3.19,3.33,2.58
2026-03-26,,欧国联,直布罗陀,拉脱维亚,01:00,6.80,4.00,1.53,1,4.16,3.51,2.10
2026-03-26,周四001,世欧预,土耳其,罗马尼亚,01:00,1.44,4.55,5.90,-1,2.05,3.38,4.58
2026-03-26,周四007,世欧预,丹麦,北马其顿,03:45,1.17,6.60,13.00,-2,2.74,3.82,2.67
2026-03-26,周四005,世欧预,波兰,阿尔巴尼亚,03:45,1.61,3.55,5.20,-1,2.94,2.98,3.07
2026-03-26,周四006,世欧预,捷克,爱尔兰,03:45,2.02,3.35,3.50,0,2.05,3.19,5.03
2026-03-26,周四002,世欧预,意大利,北爱尔兰,03:45,1.22,5.60,12.00,-2,3.25,3.49,2.45
2026-03-26,周四003,世欧预,斯洛伐克,科索沃,03:45,2.47,2.99,2.90,0,2.53,3.02,3.65
2026-03-26,周四004,世欧预,威尔士,波黑,03:45,1.64,3.75,4.90,0,1.71,3.79,6.58
2026-03-26,周四008,国际友谊,巴西,法国,04:00,2.60,3.65,2.25,0,3.26,3.52,2.43
2026-03-26,周四009,世界杯附,玻利维亚,苏里南,06:00,2.49,2.88,2.99,0,1.97,3.45,4.91
2026-03-26,周四010,国际友谊,哥伦比亚,克罗地亚,07:30,2.04,3.35,3.20,0,2.28,3.06,4.21
2026-03-26,,阿甲,阿根廷青年人,拉努斯,08:00,2.09,2.85,3.95,0,2.23,3.01,4.53
2026-03-27,周五002,FIFA系列赛,中国,库拉索,14:00,5.60,3.85,1.56,1,2.33,4.03,3.09
2026-03-27,周五003,FIFA系列赛,澳大利亚,喀麦隆,17:10,2.02,3.20,3.65,-1,4.51,3.56,2.00
